# Region type : patch cell1_to_fins
# Faces  :    307
# Area   :    2.536208e-04
# Time        	areaAverage(T)
1.628         	3.000050e+02
1.62825       	3.000050e+02
1.6285        	3.000050e+02
1.62875       	3.000050e+02
1.629         	3.000050e+02
1.62925       	3.000050e+02
1.6295        	3.000050e+02
1.62975       	3.000050e+02
1.63          	3.000050e+02
1.63025       	3.000050e+02
1.6305        	3.000050e+02
1.63075       	3.000050e+02
1.631         	3.000050e+02
1.63125       	3.000050e+02
1.6315        	3.000050e+02
1.63175       	3.000050e+02
1.632         	3.000050e+02
1.63225       	3.000050e+02
1.6325        	3.000050e+02
1.63275       	3.000050e+02
1.633         	3.000050e+02
1.63325       	3.000050e+02
1.6335        	3.000050e+02
1.63375       	3.000050e+02
1.634         	3.000050e+02
1.63425       	3.000050e+02
1.6345        	3.000050e+02
1.63475       	3.000050e+02
1.635         	3.000050e+02
1.63525       	3.000050e+02
1.6355        	3.000050e+02
1.63575       	3.000050e+02
1.636         	3.000050e+02
1.63625       	3.000050e+02
1.6365        	3.000050e+02
1.63675       	3.000050e+02
1.637         	3.000050e+02
1.63725       	3.000050e+02
1.6375        	3.000050e+02
1.63775       	3.000050e+02
1.638         	3.000050e+02
1.63825       	3.000050e+02
1.6385        	3.000050e+02
1.63875       	3.000050e+02
1.639         	3.000050e+02
1.63925       	3.000050e+02
1.6395        	3.000050e+02
1.63975       	3.000050e+02
1.64          	3.000050e+02
1.64025       	3.000050e+02
1.6405        	3.000050e+02
1.64075       	3.000050e+02
1.641         	3.000050e+02
1.64125       	3.000050e+02
1.6415        	3.000050e+02
1.64175       	3.000050e+02
1.642         	3.000050e+02
1.64225       	3.000050e+02
1.6425        	3.000050e+02
1.64275       	3.000050e+02
1.643         	3.000050e+02
1.64325       	3.000050e+02
1.6435        	3.000050e+02
1.64375       	3.000050e+02
1.644         	3.000050e+02
1.64425       	3.000050e+02
1.6445        	3.000050e+02
1.64475       	3.000050e+02
1.645         	3.000050e+02
1.64525       	3.000050e+02
1.6455        	3.000050e+02
1.64575       	3.000050e+02
1.646         	3.000050e+02
1.64625       	3.000050e+02
1.6465        	3.000050e+02
1.64675       	3.000050e+02
1.647         	3.000050e+02
1.64725       	3.000050e+02
1.6475        	3.000050e+02
1.64775       	3.000050e+02
1.648         	3.000050e+02
1.64825       	3.000050e+02
1.6485        	3.000050e+02
1.64875       	3.000050e+02
1.649         	3.000050e+02
1.64925       	3.000050e+02
1.6495        	3.000050e+02
1.64975       	3.000050e+02
1.65          	3.000050e+02
1.65025       	3.000050e+02
1.6505        	3.000050e+02
1.65075       	3.000050e+02
1.651         	3.000050e+02
1.65125       	3.000050e+02
1.6515        	3.000050e+02
1.65175       	3.000050e+02
1.652         	3.000050e+02
1.65225       	3.000050e+02
1.6525        	3.000050e+02
1.65275       	3.000051e+02
1.653         	3.000051e+02
1.65325       	3.000051e+02
1.6535        	3.000051e+02
1.65375       	3.000051e+02
1.654         	3.000051e+02
1.65425       	3.000051e+02
1.6545        	3.000051e+02
1.65475       	3.000051e+02
1.655         	3.000051e+02
1.65525       	3.000051e+02
1.6555        	3.000051e+02
1.65575       	3.000051e+02
1.656         	3.000051e+02
1.65625       	3.000051e+02
1.6565        	3.000051e+02
1.65675       	3.000051e+02
1.657         	3.000051e+02
1.65725       	3.000051e+02
1.6575        	3.000051e+02
1.65775       	3.000051e+02
1.658         	3.000051e+02
1.65825       	3.000051e+02
1.6585        	3.000051e+02
1.65875       	3.000051e+02
1.659         	3.000051e+02
1.65925       	3.000051e+02
1.6595        	3.000051e+02
1.65975       	3.000051e+02
1.66          	3.000051e+02
1.66025       	3.000051e+02
1.6605        	3.000051e+02
1.66075       	3.000051e+02
1.661         	3.000051e+02
1.66125       	3.000051e+02
1.6615        	3.000051e+02
1.66175       	3.000051e+02
1.662         	3.000051e+02
1.66225       	3.000051e+02
1.6625        	3.000051e+02
1.66275       	3.000051e+02
1.663         	3.000051e+02
1.66325       	3.000051e+02
1.6635        	3.000051e+02
1.66375       	3.000051e+02
1.664         	3.000051e+02
1.66425       	3.000051e+02
1.6645        	3.000051e+02
